"Bill Payment Response Message"|"Response Code"|"Count of records"|Percentage
Success|00|"263,049"|"94.92%"
"(ICONS) DI BAWAH LEVEL MIN"|0105|"9,447"|"3.41%"
"Invalid billing number"|14|"1,575"|"0.57%"
"Bill number Expired"|81|758|"0.27%"
"Connection Reset"|"UBP.A.CRES"|502|"0.18%"
"Invalid Billing Number"|14|189|"0.07%"
"System Malfunction/DB Problem"|96|186|"0.07%"
"Phone number not exist / Billing ID not exist"|14|147|"0.05%"
"TOTAL KWH MELEBIHI BATAS MAKSIMUM"|50047|146|"0.05%"
"Error Database"|96|124|"0.04%"
"Other denied by Biller (or other error from 3rd party)"|D1|120|"0.04%"
"TRANSAKSI GAGAL"|50005|96|"0.03%"
"Bill number (payment code,billing code,phonénumber, etc) Expired"|81|87|"0.03%"
"(ICONS) REKENING SEDANG BERTRANSAKSI. COBA LAGI!"|0112|76|"0.03%"
"(empty)"|"(empty)"|69|"0.02%"
"(ICONS) (UBP) GENERAL ERROR"|999|65|"0.02%"
"Invalid Credential"|89|57|"0.02%"
"General Error"|05|52|"0.02%"
"Time out."|68|36|"0.01%"
"General Error."|05|34|"0.01%"
"(ICONS) DANA TIDAK CUKUP"|0398|33|"0.01%"
"General error"|05|31|"0.01%"
"Invalid Amount."|13|28|"0.01%"
"Gateway Error! Failed to evaluate formula Interfaces to Canonical - evaluateUBPFormula -> Error While Evaluating :$canonicalData/customData/detailInfo/info[0].trim() | cause : null"|999|26|"0.01%"
"INVALID CHECK DIGIT"|9001|24|"0.01%"
"SEDANG BERLANGSUNG PROSES CUTOFF, SILAHKAN COBA BEBERAPA SAAT KEMUDIAN"|50090|17|"0.01%"
"Bill number is blocked"|27|16|"0.01%"
"Biller is inoperative."|89|16|"0.01%"
"Time Out"|68|12|"0.00%"
"General error."|05|9|"0.00%"
"General error."|98|2|"0.00%"
"Unable to Route."|92|11|"0.00%"
"Emergency Receipt"|00|9|"0.00%"
"host or switch external decline"|05|8|"0.00%"
"(ICONS) DILARANG"|2035|7|"0.00%"
"INVALID BIN NUMBER"|9003|7|"0.00%"
"(ICONS) LATE RESPONSE FROM BACKEND"|9201|6|"0.00%"
"(ICONS) TRX DUPLICATE DALAM RENTANG WAKTU"|4469|6|"0.00%"
"(CARDLINK) 500 : ""{""errors"":[""503 Service Unavailable: [{\""errorMessage\"":\""BAQR0437W: API transpurchasebillpaymentapi encountered an error while processing a request.\""}]""],""data"":null,""message"":""503 Service Unavailable: [{\""errorMessage\"":\""BAQR0437W: API transpurchasebillpaymentapi encountered an error while processing a request.\""}]""}"""|500|4|"0.00%"
"(UBP) General Error"|9000|3|"0.00%"
"(UBP) Undefined Fault"|99|3|"0.00%"
"Allowable number of PIN-entry tries exceeded"|75|3|"0.00%"
"Bill number (payment code,billing code,phonenumber, etc) is blocked"|27|3|"0.00%"
"Time Out."|68|3|"0.00%"
"(CARDLINK) 500 : ""{""errors"":[""Request Timeout""],""data"":null,""message"":""Request Timeout""}"""|500|2|"0.00%"
"Bill is already paid"|88|2|"0.00%"
"Failed to determine Amount Payment Response! Payment amount is not set!"|993|2|"0.00%"
"Failed to determine Amount Payment Response! java.lang.NumberFormatException: For input string: ""UBP"""|999|2|"0.00%"
"Invalid amount"|13|2|"0.00%"
"(BPJS_TKBPU) NIK Aktif pada Kepesertaan yang berbeda."|"-2"|1|"0.00%"
"(CARDLINK) 500 : ""{""errors"":[""503 Service Unavailable: [{\""errorMessage\"":\""BAQR0433W: The asynchronous request has timed out after 10,000 milliseconds.\""}]""],""data"":null,""message"":""503 Service Unavailable: [{\""errorMessage\"":\""BAQR0433W: The asynchronous request has timed out after 10,000 milliseconds.\""}]""}"""|500|1|"0.00%"
Other|68|4|"0.00%"
Other|999|3|"0.00%"
Other|0110|1|"0.00%"
Other|12|1|"0.00%"
Other|13|1|"0.00%"
Other|27|1|"0.00%"
Other|2755|1|"0.00%"
Other|30|1|"0.00%"
Other|51|1|"0.00%"
Other|92|1|"0.00%"
